article_number,article_description,revenue
43,esprit l59 850 s7 hms (m),730
230,avignon c380 l46 505 se hmb belt ltd (m),915
45,ultimate c8+ l57 621 s8 hmb belt (m),870
27,ultimate 1.5 c5 l49 820 s5 hmb,1268
56,ultimate 2.0 t11+ l55 885 s11 hmb usa m,960
139,orange c8 l53 690 h8 hmb,1076
411,arroyo c5 l53 822 r5s hmb elite belt,432
368,medeo t10 m45 820 s10 hmb usa,1254
269,orange c7+ l49 472 h7 hmb (m),706
125,orange c8 h57 001 h8 hmb (m) connect,604
76,tour pop.rvs   h66 001     t3,1272
253,grenoble  c7+  l57 886 h7 hmb,944
165,medeo t9 l50 887 s9 hmb,787
41,arroyo c7+ l53 001 r7h hmb (m),1125
72,medeo t9 city  l50 871 s9 hmb usa,1039
35,ultimate t10+ m53 851 s10 hmb usa,830
86,ultimate c8+ h53 621 s8 hmb belt (m),1371
123,ultimate 2.0 t11 h45 885 s11 hmb (m),575
344,grenoble 1.2 c5 l57 822 s5 hmb belt,1017
439,heavydutynl c7+ h54 851 h7 hmb (m),259
235,heavydutynl c7 l64 001 h7 hmb (m),878
33,grenoble c5  h57 822 s5 hmb belt,773
428,grenoble  c7+ l53 480 h7 hmb (m),1078
422,miss grace c7+ l54 896 r7h hmb,1009
187,orange c8 h61 001 h8 hmb (m) connect,746
166,ultimate c380  h57 468 se m hmb sp.belt,486
15,ultimate c8+ l53 375 s8 hmb belt connect,1285
375,arroyo c8  l53 851 r8s hmb elite,1288
184,chamonix c7  hms  h53 822 s7,1284
381,tour pop.rvs   h61 001     t3,1294
476,avignon c8 l53 883 s8 hmb (m),1541
105,chamonix c5 hms l53 883 s5 (m),1202
44,ultimate c380  m57 468 se m hmb sp.belt,1763
168,orange c7+  l57 681 h7 hmb verhuur,695
285,ultimate 2.0 t11 l60 885 s11 hmb (m),1021
410,chamonix c5 hms l61 883 s5 (m),1286
270,chamonix c7  hms  h57 822 s7,1346
294,avignon c8 l61 896 s8 hmb connect (m),360
17,marco polo t8  l49 874 s8 (m) urban,351
106,bloom c380 l57 887 se hms,1269
274,chamonix c7  hms  h61 822 s7,813
268,avignon c8 l53 896 s8 hmb connect (m),780
289,arroyo c7+ h61 001 r7h hmb (m),799
175,heavydutynl c5 h49 690 h5 hmb belt,1275
5,ultimate c8+ h61 621 s8 hmb belt con (m),805
121,heavydutynl c7+ l64 851 h7 hmb (m),1025
444,esprit l54 884 s7 hms (m),1122
93,medeo t9 l55 375 s9 hmb usa,779
119,chamonix t10 hms l53 874 s10,1427
399,ultimate 1.5 t10 l46 822 s10 hmb,1351
160,ultimate c8 l46 690 s8 hmb usa belt (m),954
79,arroyo c7+ l57 480 r7h hmb elite (m),1530
155,ultimate 2.0 c380+ l55 375 se hmb usa,1325
74,ultimate 1.5 c5 l53 884 s5 hmb (m),818
460,bloom c7  l49 887 s7  hms,1061
18,grenoble c8  l53 464 s8 hmb verhuur,1285
67,ult. c380+ m46 468m se hmb belt usa,1372
167,orange c8 h53 001 h8 hmb (m) connect,1379
319,ult. c380+ m53 468m se hmb belt usa,1116
249,ultimate c8+ l61 375 s8 hmb belt,1256
194,ultimate c8 l46 888 s8 hmb usa belt (m),1221
233,paris c7 l53 813 h7 hmb (m),1167
204,ultimate c8+ l53 464 s8 hmb belt verh.,755
296,arr. 1.2 c5 l53 690 s5 hmb elit belt usa,901
98,makki load    l49  001/322 hmb (m),1254
307,chamonix t10 hms h57 874 s10,1278
425,ultimate c8+ l49 375 s8 hmb belt connect,665
351,paris c7+ l49 322 h7 hmb (m),1265
202,chamonix c5 hms l49 886 s5,966
278,orange c7+ l53 822 h7 hmb,890
461,grenoble 1.2 c5 h61 822 s5 hmb belt,1237
352,chamonix c7  hms  h65 822 s7,926
282,esprit l46 867 s7 belt (m),678
102,arroyo c7+ h57 480 r7h hmb elite (m),1421
228,arroyo c7+ l49 480 r7h hmb elite (m),1037
201,ultimate c380  h65 468 se m hmb sp.belt,771
321,paris c7 l49 813 h7 hmb (m),632
402,paris c7 l57 813 r7h hmb (m),1036
371,ultimate 2.0 c380 l45 887 se hmb,614
390,medeo t9 city  l50 887 s9 hmb usa,881
394,arroyo c7+ l49 001 r7h hmb (m),911
350,makki load    l49  001/322 hmb con. (m),370
132,ultimate c8 l57 888 s8 hmb usa belt (m),802
196,medeo t10 h50 871 s10 hmb,559
311,orange c7+ l53 887 h7 hmb,1392
141,medeo t10+ m50 690 s10 hmb usa,965
